"x [m]" "Temp " "vel [m/s]" "rho [g/cm3]" "HRR [W/m3]" "AC3H5OOH " "BZCOOH " "C2H2 " "C2H3 " "C2H3CHO " "C2H4 " "C2H5 " "C2H5OH " "C2H6 " "C3H3 " "C3H4-A " "C3H5-A " "C3H5-T " "C3H5O " "C3H6 " "C4H4 " "C4H5-I " "C4H6 " "C4H71-3 " "C4H8-1 " "C5H4CH3 " "C5H5 " "C5H5CH3 " "C6H4CH3 " "C6H5 " "C6H5C2H3 " "C6H5C2H5 " "C6H5CH2 " "C6H5CH2O " "C6H5CH3 " "C6H5CHO " "C6H5O " "C6H5OH " "C6H6 " "C7H131-3 " "C7H14-2 " "C7H14O2-4 " "C7H14OOH2-4 " "C7H14OOH2-4O2 " "C7H15-4 " "C7H15-4O " "C7H15-4O2 " "C7KET24 " "CH2CH2O-2OOH " "CH2CHO " "CH2CO " "CH2O " "CH3 " "CH3CHCHO " "CH3CHO " "CH3O " "CH3O2 " "CH3O2H " "CH3OH " "CH4 " "CO " "CO2 " "H " "H2 " "H2O " "H2O2 " "HCCO " "HCO " "HO2 " "IC3H5CHO " "IC3H7 " "IC3H7O2 " "IC4H7 " "IC4H8 " "IC4H9 " "IC8 " "IC8-1O2R " "IC8-1OR " "IC8-1R " "IC8D3-5R " "IC8D4 " "IC8KET1-3 " "IC8O1-3 " "IC8OOH1-3O2R " "IC8OOH1-3R " "N2 " "NC3H7 " "NC3H7CHO " "NC3H7O2 " "NC7H16 " "NEC7D4 " "NO " "NO2 " "O " "O2 " "O2C2H4OH " "OH " "PC2H4OH " "PC4H9 " "SC2H4OH " "TC4H9 " "TC4H9CHO " "N "
0.0 343.0 0.21850796294859715 5.359441140463749 5577.766838593724 7.326550951572933e-13 -2.0658831060159113e-13 -6.860902723646707e-14 1.0013134818912383e-24 5.836270161380358e-13 6.40790322617585e-15 -1.4072390279988662e-26 0.0065892455065236 -1.0116833744467597e-13 -1.1096597306156496e-13 2.928629434770148e-14 1.0440501835653741e-13 4.916398780803038e-31 2.4337394706777585e-13 -1.1857197439108422e-12 1.6311616643188576e-13 -2.310432677082269e-13 -3.363295532682165e-13 -7.533321971400068e-14 3.856242405737041e-13 -1.136252131701842e-13 5.495744768486041e-13 -2.7871947469564196e-13 -5.534924822243373e-27 1.1730837480108027e-12 -3.6525769419840553e-13 2.055516208421866e-13 1.4063454843353956e-12 5.6359067675059006e-15 0.021793301277833323 -1.5534352431478068e-12 4.314073884853115e-15 -1.6012963517528627e-12 -5.871482274595655e-14 -3.571730027529036e-14 4.687693631525206e-13 5.27921101975608e-13 3.3021228591712474e-14 7.632654149664014e-17 -2.4961059334210153e-14 8.171111376619219e-32 -1.8574740774474357e-15 -3.5882745337125506e-14 -3.843993427260985e-27 1.330885326176569e-15 -5.983768002386496e-16 -5.264506728530372e-13 4.4228821610606884e-13 4.031132276354327e-35 9.228666785331026e-16 -2.7423564636562444e-23 7.343276261988103e-15 -2.3979837291334923e-13 -6.812727588250002e-14 -2.7168208119228093e-14 1.7738063540517529e-15 0.02053076459437887 -5.408194653842482e-14 5.832890480658158e-14 0.007015814346549329 3.349162843549578e-13 1.3274899308964694e-14 3.0401733130137327e-13 -1.603164845481799e-14 -2.2534268418775637e-13 9.350946682917778e-13 5.630307209866836e-15 -6.708096657506031e-14 1.2150923940184738e-12 -2.85371747058079e-14 0.0226346967436363 -3.935900115113821e-15 -2.55965043774125e-33 -1.095312436318162e-12 6.925123038615589e-13 -2.289671631816725e-13 3.2505697140086223e-13 -2.7053588757988657e-16 -7.549272652341963e-14 -2.342416534327231e-22 0.7136365055308389 -5.818058095821289e-14 5.082476139774648e-14 -3.5014685832347627e-16 0.012025034864164192 3.745956227041861e-14 -1.7923911283702018e-16 5.542526897115019e-15 -5.732972742469906e-13 0.1957746371359737 -5.8837185984393e-16 2.670836399716257e-13 -9.863902328377603e-14 -2.9838900566333723e-13 -7.273970451737577e-22 -1.1590772738603137e-12 2.3286482327123742e-14 -1.1695006932508457e-14
0.003 342.9999999910039 0.21850796294858624 5.3594411404640425 -0.003749507328189082 7.326406684858603e-13 -2.0658869763197814e-13 -6.860898961752845e-14 1.528569284063451e-22 6.365414964799637e-13 1.3391779848870078e-14 -2.478373198458185e-24 0.0065892455073217355 -1.0116833636311074e-13 -6.407854517890119e-16 2.9286294429990465e-14 1.0441333916076919e-13 9.788495405909072e-29 1.7499746101177602e-13 -1.1856255427792031e-12 1.6311624216295352e-13 -2.310432677214337e-13 -3.364337493281891e-13 -7.522924508065824e-14 3.8562497913633647e-13 -1.1362532824820853e-13 5.495744767475269e-13 -2.787194744241622e-13 -1.929034940946098e-24 1.849133875430788e-17 -3.6525769420994047e-13 2.055516208459634e-13 1.2795008356003283e-12 3.857098028715101e-15 0.02179330127804026 -1.5516746117035713e-12 1.4211287788310104e-12 -1.6012963518169848e-12 -6.119551053967617e-14 -3.571730039741027e-14 4.687693457330256e-13 5.279218298446275e-13 5.672861118182414e-21 3.994248871794164e-14 -5.491189912567698e-18 -2.3111523001211616e-34 -7.571013000021992e-13 -3.5470034684045247e-14 -1.1489093279313411e-24 7.252045116596639e-16 -1.1933697706811372e-13 -5.257258884151265e-13 1.2718155877931284e-18 9.961460426004868e-33 -7.294687768239375e-13 -5.4506512357388864e-21 1.3951907902091543e-12 -2.3972694489754905e-13 -6.812682207022503e-14 -2.7168060174659678e-14 2.323436207381995e-13 0.020530764594406187 -5.478374877528831e-20 1.8944555619203522e-12 0.007015814346425632 3.346771021475245e-13 7.016520060223062e-20 1.2336693894625715e-19 -2.0992326634796784e-12 -2.2535485114149192e-13 1.3090638781787804e-19 1.6364598500683615e-12 -6.708352074343441e-14 1.2142902101742601e-12 -2.853684887043521e-14 0.022634696744146542 -1.6997214745156896e-12 7.88480054969579e-36 -9.945541655426605e-19 6.925367419687375e-13 -2.289672064381375e-13 3.2505423242352976e-13 -2.905505626881033e-16 -3.784040394046716e-13 -1.0115723706830304e-19 0.7136365055290306 -4.598272271407077e-20 5.0824761433900514e-14 -1.0182925218128121e-13 0.012025034864761069 3.7459562275345294e-14 -2.48300700307416e-14 5.5425130300204525e-15 -3.2699436363065024e-16 0.1957746371365174 -2.0222247029080802e-13 -1.057500846968434e-18 -6.823734149966306e-20 -2.983889951356097e-13 -1.6705928443518773e-19 -1.1582735429689298e-12 2.328648233149471e-14 -1.28462113705989e-16
0.006 342.9999999909937 0.21850796314325746 5.359441135689252 -6.3043834128791725e-06 7.326264287311957e-13 -2.0658909700275368e-13 -6.860858519318298e-14 1.0990401575493664e-22 6.745961371479531e-13 1.8417820768576e-14 -2.4543603287064636e-24 0.006589245507827255 -1.0116832670666718e-13 -3.706202810785493e-18 2.9286294773813515e-14 1.0442154862784434e-13 1.3927097047966798e-30 1.2582280929923103e-13 -1.1856255938650786e-12 1.6311624299961245e-13 -2.3104326773681044e-13 -3.3653780166351973e-13 -7.512536826787711e-14 3.856257032689953e-13 -1.1362532976421282e-13 5.495744768006959e-13 -2.787194740962969e-13 -5.8715786106363345e-27 2.917986408402448e-22 -3.652576942697173e-13 2.055516208718686e-13 1.2792434285862295e-12 2.6395669343701764e-15 0.021793301280706664 -1.5504695210660745e-12 1.4211511142661573e-12 -1.6012963521463325e-12 -6.120127471415901e-14 -3.571730015052214e-14 4.687693279834319e-13 5.279218167675998e-13 -1.0247974258571657e-22 3.876577706254198e-14 -1.2392388120955537e-20 -1.8526927433224206e-35 -7.582138648048725e-13 -3.5069470102191115e-14 -1.149468348887707e-24 3.9772355571388355e-16 -1.2002262850658694e-13 -5.252812281543785e-13 6.468855138908132e-24 9.961329034344787e-33 -7.307185912878576e-13 -6.0225615330476476e-21 1.3951356291894973e-12 -2.396555197968084e-13 -6.8126351184883e-14 -2.7154060461215408e-14 2.3733784494913577e-13 0.020530764594911103 6.913220749481661e-22 6.64231739643784e-11 0.007015814345784218 3.3444840006892134e-13 3.7200085844514836e-25 2.543059301187253e-21 -2.072253465725149e-12 -2.2536640609014543e-13 1.9119847596968362e-26 1.6364600748566717e-12 -6.708600746008682e-14 1.2134885797938181e-12 -2.853652303797624e-14 0.022634696747194653 -1.4840533458286245e-12 1.8841873164296128e-38 -5.58268940675567e-22 6.925600737203594e-13 -2.289672441658841e-13 3.2504958368062764e-13 -3.0802722385841267e-16 -6.428974044987047e-13 -8.832197334544156e-20 0.7136365054654973 -3.643637669627773e-26 5.082476143561375e-14 -1.0182933223176977e-13 0.012025034866340262 3.745956228808881e-14 -2.510349621079221e-14 5.5425028312007464e-15 -4.398052727109872e-19 0.1957746371278856 -2.0232084767078294e-13 -3.3494919788547503e-21 -3.3493180088035365e-23 -2.9838898460716474e-13 -2.8653026261486755e-22 -1.1574698099395905e-12 2.328648234282523e-14 -1.427173362197726e-18
0.0075 342.9999999911899 0.2185079657332091 5.359441072164378 -4.0474824974488285e-06 7.326193685997902e-13 -2.0658929851126908e-13 -6.858693377088792e-14 9.193933572541471e-23 6.905121927650768e-13 2.065069984227931e-14 -2.4542319186412478e-24 0.006589245514534632 -1.0116766748903258e-13 -4.289468637397141e-20 2.9286321100555715e-14 1.0442561958976514e-13 1.2313130594312393e-31 1.052560748948024e-13 -1.1856248224204947e-12 1.6311624341720497e-13 -2.310432679657053e-13 -3.3658979160553736e-13 -7.507343705862907e-14 3.856260594377562e-13 -1.1362533007799896e-13 5.495744776643104e-13 -2.787194742769757e-13 2.596587573966732e-27 1.0305091726272069e-26 -3.6525769492816357e-13 2.0555162122419957e-13 1.2792786982867375e-12 2.144918787259396e-15 0.021793301316176995 -1.5499799297240069e-12 1.4211511169382264e-12 -1.6012963547628462e-12 -6.119900121916398e-14 -3.5717300081767836e-14 4.687693198631261e-13 5.279218111844145e-13 -1.0240401574163793e-22 3.8181062340327834e-14 3.9820230804294254e-21 1.1417749743110467e-30 -7.576460888828808e-13 -3.487220794629694e-14 -1.1493447570127463e-24 2.826646772260268e-16 -1.2002649407872383e-13 -5.251076983272736e-13 2.4924868356909564e-24 9.961244299643757e-33 -7.30787956617583e-13 -6.225841862797099e-21 1.3951058259187276e-12 -2.3961974172721907e-13 -6.81249211115825e-14 -2.6522025270899974e-14 2.454999737600579e-13 0.02053076460162883 5.7822277362140375e-22 9.249040333045119e-10 0.007015814337292256 3.3436274885863224e-13 3.967980114385544e-30 2.3375116680128893e-21 -2.0604254433075084e-12 -2.253720757906061e-13 7.688775902561182e-28 1.6364600752260438e-12 -6.708719802733529e-14 1.2130879063861518e-12 -2.8536360149262975e-14 0.022634696787735317 -1.3829793334184365e-12 1.5073382223664365e-39 7.987227903638069e-23 6.92571463250675e-13 -2.289672620804949e-13 3.250468146403391e-13 -3.161703251620664e-16 -7.661356227357292e-13 -8.230665443324144e-20 0.7136365046202252 -4.0523583208228745e-29 5.0824761517732314e-14 -1.0182933225639412e-13 0.012025034887332472 3.7459562367975815e-14 -2.510643658730681e-14 5.542499875399911e-15 2.5875287938492746e-21 0.19577463701274428 -2.022990939549847e-13 1.5263856479334335e-21 1.4685183021689188e-23 -2.9838897965374894e-13 -3.1631104941973463e-23 -1.1570679441068637e-12 2.32864823980983e-14 -3.17167543615014e-20
0.00825 342.9999999961606 0.21850798361125 5.3594406336618725 -6.295267876614327e-06 7.326158624076618e-13 -2.0658940186509408e-13 -6.796397404403987e-14 8.375982009654562e-23 6.977591331772957e-13 2.5187604300192845e-14 -2.4542348067257315e-24 0.006589245560830768 -1.0114482001900372e-13 -9.876985987171764e-22 2.9287328337586684e-14 1.0442764686766606e-13 1.1308653306392784e-31 9.589180805032396e-14 -1.1855952027932827e-12 1.631162556838948e-13 -2.310432692729749e-13 -3.366157498757633e-13 -7.504747171556046e-14 3.856264087360146e-13 -1.1362533124932707e-13 5.495744830444849e-13 -2.787194760269805e-13 2.4091570859097422e-27 9.476880392937355e-28 -3.652576993305966e-13 2.0555162367329872e-13 1.2792953805835147e-12 1.9232391746568296e-15 0.02179330156100035 -1.5497605333197349e-12 1.4211511323166554e-12 -1.6012963718461812e-12 -6.11979517529675e-14 -3.571730044285953e-14 4.68769320974214e-13 5.279218144945689e-13 -1.0236689491771571e-22 3.788961405402688e-14 3.7210998175152455e-21 7.710974031315414e-30 -7.573713745298775e-13 -3.4774332216916386e-14 -1.1492874724471337e-24 2.3519880236059795e-16 -1.2002364142263895e-13 -5.249291346083143e-13 2.3469046162999213e-24 9.961199555891171e-33 -7.30817978300961e-13 -6.309276463405479e-21 1.3950929627556622e-12 -2.3959946768187674e-13 -6.808501760435704e-14 -1.2096917896917015e-14 3.944866347561545e-13 0.020530764648003463 5.2665134667148505e-22 6.8500779124043435e-09 0.0070158142794910896 3.349780928432373e-13 -1.4071801697284613e-33 2.132168757018984e-21 -2.054641011133528e-12 -2.2537488912908137e-13 7.688851843681277e-28 1.6364600901226609e-12 -6.708777533767652e-14 1.2128876908767845e-12 -2.8536278916163755e-14 0.022634697067554367 -1.3342302275916473e-12 -8.431501780095432e-32 7.463384262389406e-23 6.925770957532289e-13 -2.2896727318532873e-13 3.250453263717668e-13 -3.2009787159127933e-16 -8.255768090906422e-13 -7.940540143688169e-20 0.7136364987854851 -3.6869936204999764e-29 5.0824763025942264e-14 -1.0182933286729673e-13 0.012025035032225807 3.7459562984070395e-14 -2.5104664042015143e-14 5.54254371690115e-15 8.022706826679589e-21 0.19577463621774285 -2.0228901109034e-13 1.4148834455108574e-21 1.3627152477520452e-23 -2.9838897966066754e-13 -2.9803624227433126e-23 -1.1568670191752843e-12 2.3286482681747087e-14 2.1560346524976484e-20
0.009000000000000001 343.00000016209134 0.21850815417338246 5.35943645021371 -8.355756647533607e-06 7.326125144815085e-13 -2.0658951692128977e-13 -4.384639869609906e-14 7.630527471539786e-23 7.043641317214477e-13 1.5678909816121465e-13 -2.454235306167797e-24 0.00658924600238492 -1.0008119097795012e-13 -2.2871723855436328e-23 2.933905726258313e-14 1.0442970398060631e-13 1.110398123450033e-31 8.735745412255411e-14 -1.184127407510922e-12 1.6311700428531519e-13 -2.3104324172237887e-13 -3.366398818688604e-13 -7.502149661520673e-14 3.8563715803808745e-13 -1.1362533947376584e-13 5.495745343316601e-13 -2.787194297241554e-13 2.115085804557628e-27 8.49913136898883e-28 -3.6525774077378175e-13 2.0555164793518565e-13 1.2793100931034551e-12 1.7244108377187186e-15 0.021793303895891788 -1.5495639045893361e-12 1.4211512792838943e-12 -1.6012965114920734e-12 -6.119673883889512e-14 -3.5717304426739404e-14 4.687693702150649e-13 5.279218739892005e-13 -1.0233208125278455e-22 3.7599067881406037e-14 3.2403992461499437e-21 5.143131482107208e-30 -7.571131677326068e-13 -3.4677208373657134e-14 -1.1492372018627671e-24 1.9673096217047576e-16 -1.1987696539542568e-13 -5.203088192321206e-13 2.203984253656545e-24 9.961160359555196e-33 -7.307116713023936e-13 -6.373322940544277e-21 1.3951808169288987e-12 -2.3946437816995606e-13 -6.631824710907746e-14 4.3168251558341653e-13 5.352864749359046e-12 0.020530765090533303 4.796620313471711e-22 6.335199730966602e-08 0.00701581375233692 3.5755014560092356e-13 -5.573985699031764e-34 1.9424665177465294e-21 -2.03577702609516e-12 -2.2537762026673487e-13 7.688854801168007e-28 1.6364602462861552e-12 -6.708825026542749e-14 1.21269269654689e-12 -2.853619810345764e-14 0.02263469973617601 -1.287200386486002e-12 -7.354315124710005e-32 6.035337925384108e-23 6.925827251102188e-13 -2.2896730615053157e-13 3.2504377093057275e-13 -3.2388698676196064e-16 -8.829279451643399e-13 -7.66064813092494e-20 0.7136364431248094 -3.8273122707687455e-29 5.082484256461686e-14 -1.0182931987153121e-13 0.012025036414071126 3.7459582344703316e-14 -2.5079980228123692e-14 5.544716824314994e-15 5.644720942585185e-21 0.1957746286286141 -2.0228016038412512e-13 1.2425059387778203e-21 1.1961804873805403e-23 -2.983890023260877e-13 -3.187476050501888e-23 -1.1566660714729171e-12 2.328648534190427e-14 2.396952436881853e-21
0.009374999999999998 343.00000225856525 0.2185087864004824 5.359420943374324 -9.195634922059584e-06 7.326126817599362e-13 -2.065892515593895e-13 3.09308858243816e-13 7.275200168221902e-23 7.075223654670063e-13 1.9633929798253212e-12 -2.4543325199214078e-24 0.006589247637449249 -8.137992595449136e-14 -1.0571471024655936e-24 3.034186229398943e-14 1.0443165097926113e-13 1.0345422771847524e-31 8.328924950184042e-14 -1.156684958890655e-12 1.6313582714445485e-13 -2.310421093705359e-13 -3.366096318503751e-13 -7.500828122610312e-14 3.858792111464833e-13 -1.1362530054674895e-13 5.495747455859538e-13 -2.7871740213564954e-13 2.1097982223611552e-27 8.033996599026737e-28 -3.652578821779273e-13 2.0555176983555765e-13 1.279317781483194e-12 1.6304193328318792e-15 0.02179331254039991 -1.5494714469324933e-12 1.4211518463414154e-12 -1.6012963272810967e-12 -6.118783130088798e-14 -3.571731890262312e-14 4.687695805673767e-13 5.279221179060421e-13 -1.023147543752243e-22 3.745403583897364e-14 3.2418268583090158e-21 4.468639406396568e-30 -7.569825391838499e-13 -3.462884669610459e-14 -1.1492115046739475e-24 1.9802376929406602e-16 -1.170748347791593e-13 -4.4527258919998875e-13 2.0678147698084617e-24 9.961173816860285e-33 -7.280029955636206e-13 -6.345766266888222e-21 1.3970478638060957e-12 -2.373104380062696e-13 -3.668320446529752e-14 5.6068870135452175e-12 6.825230855146937e-11 0.020530766732246485 4.5726714293469215e-22 2.724640085540257e-07 0.007015812071686277 6.464613825631237e-13 9.104464664697048e-33 1.85201317617943e-21 -1.856111700543863e-12 -2.2537659431405122e-13 7.688886578557407e-28 1.636460982152724e-12 -6.708658591817e-14 1.2127233682933877e-12 -2.8536118784893524e-14 0.02263470961597399 -1.2641061886310174e-12 -7.269260802763934e-32 6.361459756736152e-23 6.925857397891846e-13 -2.289673769776095e-13 3.2504309704010636e-13 -3.2573352661492846e-16 -9.110890907125544e-13 -7.523211056935054e-20 0.7136362368957534 -3.8640628943456064e-29 5.082691975867896e-14 -1.0182873733359976e-13 0.012025041529991495 3.7460098518739154e-14 -2.477470235543354e-14 5.583766329726344e-15 5.2063773300662486e-21 0.1957746004384464 -2.0227560621996665e-13 1.2394989011338389e-21 1.1932401205125601e-23 -2.9838908317554134e-13 -2.684855204009325e-23 -1.1565629943388177e-12 2.3286497959732028e-14 2.954379373119821e-22
0.009562499999999998 343.00001602621626 0.2185101205679451 5.359388220110075 -8.65117034370613e-06 7.326335627428133e-13 -2.0658175684775928e-13 2.983242527909618e-12 7.101952641088319e-23 7.091854936113527e-13 1.4892505584610517e-11 -2.6783343140981302e-24 0.006589251076905859 8.770305819648468e-14 -5.66660935947341e-27 4.031283379494975e-14 1.0444206501255882e-13 6.26061252886693e-32 8.130521814274727e-14 -8.932951284819367e-13 1.6338038061790275e-13 -2.310265221432437e-13 -3.361035132003182e-13 -7.499904851985818e-14 3.887116384878128e-13 -1.1362421972501007e-13 5.495754873547017e-13 -2.786861349937145e-13 3.342924802073381e-27 7.773713223553537e-28 -3.652579608392025e-13 2.0555260469468026e-13 1.2793209577086708e-12 1.5847592696090976e-15 0.02179333071599805 -1.5494266264430336e-12 1.4211533997827122e-12 -1.6012849607210132e-12 -6.106236999827954e-14 -3.571734062390221e-14 4.687702751629759e-13 5.279228912154184e-13 -1.0230209571360618e-22 3.7381609360689554e-14 5.276474177339922e-21 5.5685735438030706e-30 -7.568830849197508e-13 -3.4604724154606495e-14 -1.149181148426196e-24 3.9778185792533614e-16 -8.960884805944423e-14 1.9095378847272045e-13 1.5779587307298214e-24 9.96125973391532e-33 -7.010654417859396e-13 -5.7918874759726495e-21 1.4145903018260942e-12 -2.1714715758429765e-13 2.1928364099056593e-13 3.707651071998346e-11 4.830014089481804e-10 0.02053077020694541 4.4635358182969355e-22 7.117024103124846e-07 0.007015810078825864 2.5634980922480432e-12 8.481451201300928e-32 1.8079096336182816e-21 -6.861247287202487e-13 -2.2534050607592272e-13 7.68898832027715e-28 1.6364646660758781e-12 -6.706412998629117e-14 1.214350605594494e-12 -2.8535479158662714e-14 0.022634730387227603 -1.2526487727013796e-12 -6.680324033553636e-32 1.4391803609536518e-22 6.925875238143429e-13 -2.289670761649711e-13 3.2504299420217765e-13 -3.2638450303325333e-16 -9.250411027868168e-13 -7.45503946520803e-20 0.7136358024468593 -3.8030959405291496e-29 5.0855801323727723e-14 -1.0182011573083785e-13 0.012025052285902955 3.746845588292358e-14 -2.2801660021427623e-14 5.944136157002781e-15 5.374842792002354e-21 0.1957745405585395 -2.0227005867300683e-13 1.964630772926493e-21 1.8915795495074694e-23 -2.98389100638712e-13 1.371475248176489e-23 -1.1564737781103891e-12 2.328657168566592e-14 5.50318224623344e-23
0.009749999999999998 343.00014116015035 0.21851435581423406 5.359284344430752 4.148365321167999e-06 7.330291512179791e-13 -2.0638510295101527e-13 3.0869231426601716e-11 6.933906167250572e-23 7.129470096825842e-13 1.4259898584411554e-10 -3.4833491920899626e-22 0.006589261895896238 2.182378144447454e-12 1.3436835495202412e-23 1.7582757542260102e-13 1.0457875937913056e-13 -3.2013303608978816e-31 7.937881126849443e-14 2.565165431407411e-12 1.6770642037696246e-13 -2.3074754121556237e-13 -3.2784732140328867e-13 -7.49486649239626e-14 4.338742285583533e-13 -1.1360126202030474e-13 5.495833490412121e-13 -2.780552888228048e-13 2.155710549785979e-26 7.204817657100892e-28 -3.652528013818317e-13 2.0556933425664206e-13 1.2792474963733357e-12 1.5403805071782346e-15 0.02179338782061135 -1.5493646026623987e-12 1.4211659330823862e-12 -1.6010163291406217e-12 -5.855256350654879e-14 -3.5717194210093076e-14 4.687785618445017e-13 5.279320709121091e-13 -1.0223023782189071e-22 3.7309368363987213e-14 3.483295747129936e-20 7.337018596390902e-29 -7.563272385494376e-13 -3.45803270717418e-14 -1.148893084985488e-24 3.3486913814754473e-15 2.7850335813047415e-13 7.598385247625286e-12 -2.6183924269353582e-24 9.961709696665356e-33 -3.367886883128196e-13 1.8111603009717092e-20 1.6394266508448502e-12 4.218038566765691e-14 3.2524528418584728e-12 3.0271813116667204e-10 4.267693560204325e-09 0.02053078134955856 4.359810963206002e-22 2.088285471433076e-06 0.007015816002825949 2.01617097911143e-11 1.6317881799902378e-30 1.7651274758302604e-21 9.976509032321911e-12 -2.2460322925603269e-13 7.6897912046054175e-28 1.6365163146063226e-12 -6.67055976919998e-14 1.2435958355141468e-12 -2.8523920861674094e-14 0.022634795634078397 -1.2410885711248623e-12 6.712367174728213e-30 1.1926297321155064e-21 6.925885398173098e-13 -2.289555414792827e-13 3.2504359007567144e-13 -3.2024512691087485e-16 -9.38864848316489e-13 -7.386325820853165e-20 0.7136344312138456 -8.703265606483562e-31 5.140408751970517e-14 -1.0165414146825143e-13 0.0120250860742051 3.7655723892913414e-14 -5.1403166499823955e-15 1.0498522094629893e-14 9.75301874990576e-21 0.19577434693146967 -2.0221749838100228e-13 1.2674857342149541e-20 1.2203702153052495e-22 -2.983863930961656e-13 4.196885314914252e-22 -1.1557045862661111e-12 2.3287870908598842e-14 9.068121422202424e-24
0.009937499999999998 343.0012783404654 0.21852811840042585 5.358946824448251 0.0002534609586576857 7.404760792994968e-13 -2.0435127777767054e-13 3.216944659029625e-10 6.786289155374719e-23 7.547525521545845e-13 1.404058487853604e-09 -3.892953800499293e-21 0.006589296133045618 2.8132757142702672e-11 2.0144790844590223e-21 2.0176415122137e-12 1.0643517317707937e-13 -3.7170495802133356e-30 7.767533972669617e-14 4.7977739957268e-11 2.4425259809708906e-13 -2.2578702690012784e-13 -1.9469875483096616e-13 -7.423942551459987e-14 1.1540424454280742e-12 -1.1313942741292135e-13 5.497176809737333e-13 -2.6538756588087033e-13 2.8455708890537045e-25 3.5990843598148667e-28 -3.651010184793437e-13 2.059706459292192e-13 1.2786689131651265e-12 1.4972401298888318e-15 0.02179356798160547 -1.5488127479698784e-12 1.4213700915766351e-12 -1.5951518857308782e-12 -8.267056648943296e-15 -3.5715142989475506e-14 4.689564433669056e-13 5.281397158060515e-13 -1.0141468064437086e-22 3.723807411454921e-14 4.575884503776764e-19 6.290921418632965e-27 -7.501637597105978e-13 -3.454522049466175e-14 -1.144984721843192e-24 4.535756232295005e-14 5.212223864054204e-12 9.384476721910328e-11 -4.0223498048542843e-23 9.964561896871815e-33 4.588603822854338e-12 9.13502498910072e-18 4.520724727636202e-12 3.378122791079603e-12 3.919589133644481e-11 2.5451149046385857e-09 3.88048706460374e-08 0.020530818873094454 4.304205819347328e-22 6.402651571003689e-06 0.007015934967440485 1.8170173125477372e-10 1.3652858411610438e-28 1.7276515481120704e-21 1.0725270880216493e-10 -2.098541795905023e-13 7.6996734727168975e-28 1.6374441904275527e-12 -6.10106434846794e-14 1.7553821786480555e-12 -2.831341994206659e-14 0.022635001375662697 -1.2272031520472541e-12 9.225620330995712e-28 1.516783262874491e-20 6.925716969320708e-13 -2.286629770531103e-13 3.2504726239369487e-13 -1.372870356672186e-16 -9.52532171206032e-13 -7.30427528026844e-20 0.7136300569171662 3.397981627657586e-27 6.182205256371651e-14 -9.847771037375284e-14 0.012025192632691323 4.1863677896703314e-14 1.5295128053533794e-13 6.807143046368911e-14 7.456185883660333e-20 0.1957736848716527 -2.0151276493165394e-13 1.6731643284741407e-19 1.6107437477813305e-21 -2.983276810973742e-13 4.6187387576536685e-21 -1.1425694788891316e-12 2.3316430604380968e-14 1.397428263865947e-24
